,playerName,Pos,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS,NBAGP,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
127,Isaiah Whitehead,PG,Seton Hall,,56,52,30.5,5.1,13.6,.375,3.0,7.8,.387,2.1,5.8,.359,3.5,4.6,.757,0.7,3.0,3.7,4.5,1.3,1.1,3.4,2.3,15.8,,7.92,73,2.5,2.6,0.6,0.5,7.4
128,Demetrius Jackson,PG,Notre Dame,,103,88,31.5,4.0,8.6,.467,2.7,5.2,.523,1.3,3.4,.381,2.3,3.0,.782,0.9,2.3,3.1,3.3,1.1,0.2,1.7,1.9,11.7,,7.79,5,0.8,0.6,0.0,0.0,2.0
129,A.J. Hammons,C,Purdue,,132,95,24.3,4.6,8.6,.539,4.6,8.4,.544,0.0,0.2,.261,2.7,4.0,.690,2.4,4.7,7.0,0.8,0.4,2.6,2.1,2.5,12.1,,7.64,22,1.6,0.2,0.0,0.6,2.2
130,Jake Layman,SF,Maryland,,141,115,27.9,3.4,7.7,.445,2.0,3.8,.530,1.4,3.9,.362,1.9,2.6,.759,1.1,3.7,4.8,1.1,0.9,0.8,1.4,1.9,10.2,,7.17,35,0.7,0.3,0.3,0.1,2.2
131,Michael Gbinije,SG,Syracuse,,101,61,29.2,3.9,8.7,.452,2.4,4.7,.507,1.5,4.0,.387,1.9,3.0,.631,1.0,2.6,3.6,3.0,1.5,0.3,1.8,2.4,11.3,,,9,0.3,0.2,0.0,0.0,0.4
132,Georges Niang,PF,Iowa State,,138,126,29.8,6.2,12.3,.500,4.8,8.7,.553,1.4,3.6,.375,2.5,3.2,.763,1.2,4.0,5.2,3.1,0.7,0.5,2.3,3.1,16.1,,8.83,23,0.7,0.2,0.1,0.0,0.9
133,Ben Bentil,PF,Providence,,69,56,27.9,4.7,10.2,.455,3.8,7.5,.503,0.9,2.7,.324,3.6,4.8,.761,2.5,3.8,6.3,0.9,0.6,0.7,1.6,2.7,13.8,,8.98,3,0.7,0.0,0.0,0.0,0.0
134,Joel Bolomboy,PF,Weber State,,130,90,28.8,3.8,7.2,.528,3.5,6.4,.547,0.3,0.7,.371,3.6,5.0,.713,3.2,6.9,10.1,0.7,0.6,1.4,2.0,2.3,11.4,,-4.62,12,1.4,0.2,0.1,0.2,1.8
135,Kay Felder,PG,Oakland,,101,100,35.9,5.5,12.9,.426,4.1,8.8,.464,1.4,4.1,.345,5.1,6.2,.822,0.7,3.7,4.3,7.8,1.6,0.2,3.5,2.8,17.5,,0.81,42,1.0,1.4,0.4,0.2,4.0
136,Marcus Paige,PG,UNC,,141,139,32.4,4.2,10.4,.407,2.1,4.8,.446,2.1,5.7,.375,2.5,2.9,.844,0.4,2.4,2.8,4.3,1.4,0.2,1.9,1.7,13.1,,9.72,5,0.8,0.6,0.0,0.0,2.4
137,Daniel Hamilton,SG,UConn,,71,71,31.6,4.2,10.9,.384,2.9,7.1,.409,1.3,3.9,.337,2.0,2.6,.772,1.0,7.3,8.3,4.2,1.0,0.4,2.3,2.1,11.7,,5.25,6,0.8,1.3,0.2,0.0,2.0
138,Abdel Nader,SF,Iowa State,,67,35,24.1,3.4,7.6,.454,2.4,4.4,.547,1.0,3.1,.321,1.7,2.2,.745,0.7,3.3,4.0,1.1,0.7,0.6,1.7,2.2,9.5,,,48,1.5,0.5,0.3,0.2,3.0
139,Tyrone Wallace,PG,California,,129,114,31.6,4.6,11.0,.415,3.6,7.9,.464,0.9,3.1,.292,2.6,4.2,.613,1.0,4.2,5.2,3.4,1.1,0.4,2.2,2.5,12.6,,7.31,30,3.5,2.4,0.9,0.4,9.7
140,Karl-Anthony Towns,C,Kentucky,,39,39,21.1,3.7,6.6,.566,3.7,6.4,.577,0.1,0.2,.250,2.8,3.4,.813,2.4,4.3,6.7,1.1,0.5,2.3,1.4,2.9,10.3,,8.67,82,10.5,2.0,0.7,1.7,18.3
141,D'Angelo Russell,PG,Ohio State,,35,34,33.9,6.6,14.7,.449,3.9,8.1,.479,2.7,6.6,.411,3.4,4.5,.756,1.0,4.7,5.7,5.0,1.6,0.3,2.9,2.1,19.3,,7.37,80,3.4,3.3,1.2,0.2,13.2
142,Jahlil Okafor,C,Duke,,38,38,30.1,7.3,11.1,.664,7.3,11.1,.664,0.0,0.0,,2.6,5.1,.510,3.5,4.9,8.5,1.3,0.8,1.4,2.5,2.1,17.3,,9.87,53,7.0,1.2,0.4,1.2,17.5
