,playerName,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS
272,Fab Melo,Syracuse,,63,54,17.3,2.1,3.6,.576,2.1,3.6,.576,0.0,0.0,,0.7,1.3,.553,1.6,2.2,3.8,0.5,0.4,1.8,1.1,2.3,4.9,,8.40
273,John Jenkins,Vanderbilt,,98,74,30.6,5.3,11.2,.468,2.1,4.1,.521,3.1,7.1,.438,3.3,3.8,.856,0.4,2.3,2.7,1.1,0.7,0.3,1.3,1.2,16.9,,7.59
274,Jared Cunningham,Cleveland State,,33,12,14.8,1.8,4.9,.377,1.1,2.6,.419,0.8,2.3,.329,0.7,1.0,.750,0.7,1.9,2.6,0.4,0.4,0.4,0.7,2.1,5.2,,2.12
275,Tony Wroten,Washington,,35,27,30.3,5.7,12.8,.443,5.4,11.2,.483,0.3,1.6,.161,4.4,7.5,.583,2.3,2.7,5.0,3.7,1.9,0.4,3.8,2.7,16.0,,5.27
276,Miles Plumlee,Duke,,135,58,15.8,1.9,3.5,.557,1.9,3.5,.557,0.0,0.0,1.000,0.9,1.5,.625,1.8,3.0,4.8,0.3,0.5,0.6,1.0,2.3,4.8,,8.75
277,Arnett Moultrie,Mississippi State,,30,30,35.8,6.0,10.9,.549,5.7,10.3,.555,0.3,0.6,.444,4.1,5.3,.780,3.7,6.8,10.5,1.2,0.8,0.8,2.4,2.2,16.4,,
278,Perry Jones,Baylor,,63,62,32.2,5.5,10.5,.522,5.3,9.8,.539,0.2,0.7,.279,2.6,3.8,.678,2.7,4.7,7.4,1.2,0.7,0.7,2.0,2.3,13.7,,6.41
279,Marquis Teague,Kentucky,,40,40,32.6,3.6,8.8,.412,3.0,6.8,.438,0.7,2.0,.325,2.1,3.0,.714,0.4,2.1,2.5,4.8,0.9,0.3,2.7,2.3,10.0,,7.93
280,Festus Ezeli,Vanderbilt,,121,67,17.9,2.7,4.9,.562,2.7,4.9,.562,0.0,0.0,,2.3,3.9,.584,1.8,2.7,4.5,0.1,0.3,1.7,1.6,2.6,7.7,,6.64
281,Jeff Taylor,Texas Tech,,115,85,30.8,4.9,9.6,.509,,,,,,,2.6,3.4,.779,3.4,2.2,0.9,0.5,2.4,2.3,12.4,,3.48,,
282,Jae Crowder,Marquette,,72,52,30.2,5.2,10.6,.492,3.8,6.5,.581,1.4,4.1,.350,2.7,4.0,.683,2.1,5.4,7.6,1.8,1.9,0.9,1.0,2.5,14.6,,8.00
