,playerName,playerNameTrue,Pos,GP,TRB,AST,STL,BLK,PTS
1023,Bill Curley,Bill Curley,PF,53.0,2.3,0.5,0.4,0.4,2.7
1024,Wesley Person,Wesley Person,SG,78.0,2.6,1.3,0.6,0.3,10.4
1025,Monty Williams,Monty Williams,SF,41.0,2.4,1.2,0.5,0.1,3.3
1026,Greg Minor,Greg Minor,SG,63.0,2.2,1.0,0.5,0.3,6.0
1027,Charlie Ward,Charlie Ward,PG,10.0,0.6,0.4,0.2,0.0,1.6
1028,Brooks Thompson,Brooks Thompson,PG,38.0,0.6,1.1,0.3,0.1,3.1
1029,Antonio Lang,Antonio Lang,SF,12.0,0.3,0.1,0.0,0.2,0.9
1030,Howard Eisley,Howard Eisley,PG,49.0,1.0,1.9,0.4,0.1,2.4
1031,Jim McIlvaine,Jim McIlvaine,C,55.0,1.9,0.2,0.2,1.1,1.7
1032,Derrick Alston,Derrick Alston,C,64.0,3.4,0.5,0.6,0.5,4.7
1033,Gaylon Nickerson,Gaylon Nickerson,SG,4.0,1.3,0.3,0.3,0.3,3.8
1034,Michael Smith,Michael Smith,PF,82.0,5.9,0.8,0.7,0.6,6.9
1035,Dontonio Wingfield,Dontonio Wingfield,SF,20.0,1.5,0.2,0.3,0.2,2.3
1036,Darrin Hancock,Darrin Hancock,SF,46.0,1.2,0.7,0.4,0.1,3.3
1037,Anthony Miller,Anthony Miller,PF,46.0,3.3,0.8,0.4,0.2,4.1
1038,Jeff Webster,Jeff Webster,SF,11.0,0.6,0.3,0.4,0.0,1.6
1039,Shawnelle Scott,Shawnelle Scott,C,16.0,1.0,0.0,0.0,0.2,1.3
1040,Dwayne Morton,Dwayne Morton,PG,41.0,1.4,0.4,0.3,0.4,4.1
1041,Voshon Lenard,Voshon Lenard,SG,30.0,1.7,1.0,0.2,0.0,5.9
1042,Jamie Watson,Jamie Watson,SF,60.0,1.2,1.0,0.6,0.2,3.3
1043,Charles Claxton,Charles Claxton,C,3.0,0.7,0.0,0.0,0.3,0.7
1044,Lawrence Funderburke,Lawrence Funderburke,PF,52.0,4.5,1.2,0.4,0.3,9.5
1045,Anthony Goldwire,Anthony Goldwire,PG,42.0,1.0,2.7,0.4,0.0,5.5
1046,Chris Webber,Chris Webber,C,76.0,9.1,3.6,1.2,2.2,17.5
1047,Shawn Bradley,Shawn Bradley,C,49.0,6.2,2.0,0.9,3.0,10.3
1048,Anfernee Hardaway,Anfernee Hardaway,PG,82.0,5.4,6.6,2.3,0.6,16.0
1049,Jamal Mashburn,Jamal Mashburn,SF,79.0,4.5,3.4,1.1,0.2,19.2
1050,Isaiah Rider,Isaiah Rider,SG,79.0,4.0,2.6,0.7,0.4,16.6
1051,Calbert Cheaney,Calbert Cheaney,SG,65.0,2.9,1.9,1.0,0.2,12.0
1052,Bobby Hurley,Bobby Hurley,PG,19.0,1.8,6.1,0.7,0.1,7.1
1053,Vin Baker,Vin Baker,C,82.0,7.6,2.0,0.7,1.4,13.5
1054,Rodney Rogers,Rodney Rogers,SF,79.0,2.9,1.3,0.8,0.6,8.1
1055,Lindsey Hunter,Lindsey Hunter,PG,82.0,2.3,4.8,1.5,0.1,10.3
1056,Allan Houston,Allan Houston,SG,79.0,1.5,1.3,0.4,0.2,8.5
1057,George Lynch,George Lynch,SF,71.0,5.8,1.4,1.4,0.4,9.6
1058,Terry Dehere,Terry Dehere,PG,64.0,1.1,1.2,0.4,0.0,5.3
1059,Scott Haskin,Scott Haskin,C,27.0,2.0,0.2,0.1,0.6,2.0
1060,Doug Edwards,Doug Edwards,PF,16.0,1.1,0.5,0.1,0.3,2.7
1061,Rex Walters,Rex Walters,SG,48.0,0.8,1.5,0.3,0.1,3.4
1062,Greg Graham,Greg Graham,SG,70.0,1.2,0.9,0.9,0.1,4.8
1063,Luther Wright,Luther Wright,C,15.0,0.7,0.0,0.1,0.1,1.3
1064,Acie Earl,Acie Earl,C,74.0,3.3,0.2,0.3,0.7,5.5
1065,Scott Burrell,Scott Burrell,SF,51.0,2.6,1.2,0.7,0.3,4.8
1066,James Robinson,James Robinson,PG,58.0,1.3,1.2,0.5,0.3,4.8
1067,Chris Mills,Chris Mills,SF,79.0,5.1,1.6,0.7,0.6,9.4
1068,Ervin Johnson,Ervin Johnson,C,45.0,2.6,0.2,0.2,0.5,2.6
1069,Sam Cassell,Sam Cassell,PG,66.0,2.0,2.9,0.9,0.1,6.7
1070,Corie Blount,Corie Blount,PF,67.0,2.9,0.8,0.3,0.5,3.0
1071,Geert Hammink,Geert Hammink,C,1.0,1.0,1.0,0.0,0.0,2.0
1072,Malcolm Mackey,Malcolm Mackey,C,22.0,1.1,0.0,0.0,0.1,1.5
1073,Lucious Harris,Lucious Harris,SG,77.0,2.0,1.4,0.6,0.1,5.4
1074,Evers Burns,Evers Burns,PF,23.0,1.3,0.4,0.3,0.1,2.4
1075,Alphonso Ford,Alphonso Ford,PG,6.0,0.0,0.2,0.3,0.0,2.7
1076,Eric Riley,Eric Riley,C,47.0,1.3,0.2,0.1,0.2,1.9
1077,Darnell Mee,Darnell Mee,SG,38.0,0.9,0.4,0.4,0.3,1.9
1078,Ed Stokes,Ed Stokes,C,4.0,1.0,0.3,0.3,0.5,0.8
1079,Nick Van Exel,Nick Van Exel,PG,81.0,2.9,5.8,1.0,0.1,13.6
